Bills,Food,Entertainment,Transportation,Personal Spending,Savings,Healthcare,Income
62207,21590.83,16574.82,9494.02,12751,24102.57,26987,173707
28303.35,13694.81,5204.47,6191,6965,9886,2963.19,73208
10234,6043.91,2966.22,2481.69,3665,4420.9,14017,43828
43748,29633.66,14398.07,10775,13533,10539.81,37155,159783
3736.12,1837,1134.01,930.8,903.24,1793,3086,13420
21800,11064.05,10155,5729,10110.39,7773.32,40120,106752
45716.77,14178,7135,12786,8902.26,16062,36592.69,141373
59276,28054,9482.97,18004.54,10045,22137.47,39307.88,186308
31894.69,18337.42,11826.74,9115.92,9747,11326.28,33045.63,125294
57553,25753.61,19948,15773.4,10504,10768,67007,207307
39414,24567,13738.47,14258.4,12673,10409.11,80253,195312
38927.53,13980,8775.57,8846,12319,15468.87,35701.85,134019
22506.44,12602,5785.65,7457,6527.54,5392.03,15455.88,75726
51562.41,16873,13435.24,11305.67,13521.63,16428,28437,151564
39061,19191,11084,6315,12050.04,8765,29202.12,125668
78714,39408.65,22916.72,18245,13052,19538,50476.53,242351
5574.28,2073,1399,861.54,1501,1609.5,3084,16102
69590,25768.61,17300.79,12981.2,10537,27981.71,27248.95,191408
38033,18920.61,9418,7526,7328,9662,37126.86,128015
55444.62,33177,14319.92,19631.18,18517.69,31128,54167.79,226386
14242.75,6971.07,3429.89,1962.6,3397,4696,1941.55,36641
54128.66,34569,11024.01,16323,13581.64,18786,27244.55,175656
39728.45,29477,10121,15241,17104.57,22240.8,39904,173817
38385.88,21710,11822,15047,15837,18525,42838.17,164165
75288.14,29186.95,13744,18074.8,11183.97,11364.96,48334.33,207177
24381.04,18880.36,8142,10030,11333,13184,27797,113746
94087,37513,16177,23667,18667.21,13614,37545,241271
62920,24947.9,13251.71,16111.62,10342.31,14601,50782.68,192957
9377,7780.41,4599,3746.4,2611.15,3827,14690,46631
27579.42,10260.48,4556,6540,6447,5712.98,21895,82991
3202.63,2115,1282,946,998,880,4589.95,14014
4903,4186.78,1134.8,1771,1240.36,2566.42,5291,21093
6479.38,5208.79,2125.84,1551.85,2377.63,2860.79,7465.71,28070
15413,7708.28,3437,4069.45,4214.55,4943,5991.87,45777
15844.53,10642,5222.7,5822,6068.45,4208.84,19150,66958
29188.89,13932.36,6886,6135.51,4931,5428,25572.19,92074
4945.87,2314,1675,1496,1231.32,2390,6676,20729
58565,28494.63,17236.12,21882,22188,24571.05,67848,240785
72784.6,32977,17142.25,16381,10869.56,24816.35,11118.13,186089
82282.02,40664,13693,20701,19138,23040,7875,207392
43604,22557.46,11045,8610.36,13358.7,20239.07,49408,168823
53506,42477,15462,23234,22435.19,36077.22,54279.37,247472
37160,17421.54,10816,11312.22,8139,11659.98,19356,115864
43989.33,16704.82,8623,10521,13815,17883.93,29320,140858
72658,42932.18,21159.05,19606.32,18883,16962.42,26939.8,219141
73639,25576,14750.66,22535,22584,19550.39,68084.87,246719
44860,18524.85,6383,9083,8666.6,15658,12334,115510
13320,10559.43,4369,4184.89,4508,5452,22355,64748
4102,2231.25,967,1527,1176,1786.22,4012.14,15801
39171,29242,12888,11574,15577.43,8779.77,43031,160262
49772,22434,17040,12519,18260,25574.04,45161,190761
90323,36138.86,12748,20101.82,12889,34995.49,38167,245362
52736,22002,13503,10685,15143,10389.79,67604.85,192065
12329,7499,3908.42,2071.18,2684,2822,8278.4,39592
7807,3240.1,1871,1866,1228,1259.82,3375.28,20647
50065.79,15449.82,12930,13749,10599,18946,28048,149788
59403,29134,22185.75,13480.96,18163,24273,63323,229963
79483,26097,21518.23,18088,12880.78,21991.25,48558,228617
78295.61,41479.8,15478.43,11624.56,17087,11915.39,55102.95,230984
40898.79,13777,9890,6361.17,8488.42,8171,33039.88,120627
29018,9474,7869,5563,5387.48,11040,11963.82,80316
4467,2460.91,851.78,893,647,635,2412,12368
29245,17177,7018,6829,4442,5088,17777,87575
5489.59,2230,1224,1547,1081.37,2371,2712,16655
63783,40560,15927.5,16011.87,17323,33479,60464,247549
19262,9178.71,7426,6726.27,4748.15,6157,26532.36,80031
65531.15,40115.94,13477,15391,17564,21340.94,44082,217501
90690.76,35774.77,19910.39,18070.16,21529.37,33188,12991.08,232155
29929.4,16273.45,5912,9331.23,9002,9509,17965.26,97922
73477,20340,18825.46,11007,16197.4,14764,42227,196838
37784.6,17290.33,6800,10555.04,9398,11724,40494,134046
41052.48,24883.76,14453,7843.06,11089,11188,43965.05,154475
14581.33,5825.35,4094,3118.97,3307,5580,5590.23,42097
62202.6,30937.02,14552.15,19574,19325.12,21504,51634,219729
52679.39,21775,12769.11,12231.68,13448,14394.5,24740.64,152038
35445,22029.22,7457,10981.44,7383.97,8023.66,43542.49,134862
96006.2,45375,12592,18777,19793,17045,30640.65,240229
30183,13901,10907.71,11497,11765,18214.1,32366,128834
39418.58,11719.41,5328.22,8766.49,8329.29,14911,15375.35,103848
17753.9,6407.7,3997.13,5677.76,5082,7888.91,16113,62921
43387,32185.08,18252.69,15346,14881,27877.84,38869.02,190798
54213,15002.09,9561,7232,12396.17,8064,29671.97,136141
49775.43,34509,12171.28,16486,11541.62,14350.1,52538,191372
11905,3462,2631.98,2252,2931,4491.17,5003.83,32677
25484.61,12386,3615.92,5721.52,5924,5061,7416,65609
84396.38,32315.04,14073.97,19541,15793.64,32355.74,39421.7,237897
71985.76,23912.28,12268,11171,16960,11254,50182,197733
11170.55,7293,3566.63,3882.85,2970.02,4227.41,7914,41024
56561.82,32910,23849,17564.8,21790,15293,81314,249283
22936.02,9617.27,6532.09,6765,4519.38,10332,19611,80313
49444.37,27415.7,11570,13677.6,7089,11551,17065,137813
57264.54,34752,10999.79,12717.71,15678.84,23114,39552,194078
23466.72,13744,9376.98,7191,6536.11,12342,32628.88,105285
52487.91,24588.51,11575,11663.55,13467,22488,20141,156410
50137.41,25934.81,17348,19966.1,20725.79,14595.76,60390.71,209099
93116.03,35627,14085.76,15606.96,15554.22,12153,47700,233844
41762.89,19373,10407.29,6199,11936.04,7553,26400,123632
87642,42617,20994,19152,15119,13407.92,22275.35,221207
43095.36,18759.93,12699,15860.89,14142.75,14827.74,41194.25,160580
4983,1437.9,685,656.02,867,1514.42,2907.93,13051
67987.46,34224.48,16287.88,11429.37,11837.16,28398.61,19654.04,189819
47421,12902.38,8229,9954.52,10005.3,12221,23959,124692
53107.48,23589,13021,18358,13456.6,16563,90119,228214
36901,14071,6986,8676,5315.34,9926.47,15358.4,97235
59063,24197,10971,15473,17210,29130,39050,195093
80082.95,28662.16,11190,12157,10988.59,12561,51842,207484
62160,37959.47,11077.01,11736.31,14244.29,12497,49733,199407
45905,22189,10125.65,9985.1,18540,10752,79754.24,197251
61043,31748,11671.55,16382.73,12732,17798,21790,173165
82945,39262,15267.06,11199.86,15553.97,25063,21458.28,210750
59475,29367,17602.1,11830.04,20292,23565,59679,221810
63147,21255.56,9623.72,14263,12275,14020.74,46222,180806
79097,30428,11395,10701,16275,18036.8,47753.96,213687
29164,11511.76,6152,6808.79,7968,7676.5,14242,83523
51513,31172,18428.69,17478,14670.01,20526,92387.86,246175
33175,13178,10369,6842,6488,8133,26291.41,104476
89898,29353,21249.51,20550.96,21444,25181,36163.97,243841
5526,2853,1421.75,2577.36,2325.33,3180.42,9135.95,27019
24648.34,9694,5321,8257,4765,13426.48,27501.21,93613
66439,26530,11903,21763,18095.19,25818.39,62318,232866
37178.7,18213.73,7018.82,8976.93,5067.53,6269.35,13947,96672
27860,9289,6236.46,7117.13,6413.86,7476,19454.6,83847
21826.73,11922,9070,8041.93,7706,12215,21968,92750
49240,43465,21625.06,14980.08,11762.46,14722,64910.79,220706
15035.78,6440.87,3427,2472.43,2064,3778.52,5032.02,38251
45376.88,14389.52,7539.69,9415.11,7342,8123.02,21295,113481
44064,18849.66,8026,7017.1,10643.66,13499.26,20466.67,122566
10762.58,6300.47,3276.87,3377.75,2673.8,4064.07,5489,35945
38381.78,14064,9990,8870,7622,11538,10387,100852
11360,5318,3020,3097,2618,5888,10917,42217
4972.98,2524,1298,1415.78,1422,1824,4851,18308
4783,1773.69,1149,1179.41,1513,1427,4124,15949
39117,22621,15963.95,9898.99,10267.12,13921,81272.23,193062
39789,27084.78,14214,14131.28,13381,12724,20897.55,142222
82570,23329.51,14906.98,11595.89,15864,12984,69302,230552
38543,21011,10271,9227,6695,12541.47,11947.13,110235
21329,16106,7727,7130,7206.11,10395,14847.21,84740
29135.81,22824.26,9541.14,12492.58,8097.14,12390.96,31870.11,126352
26572,7897,6196.26,6745,5672,10968.22,12565.87,76617
65350.29,41039.61,16722,20484.94,13135.22,30810.51,48370,235913
10261.45,4966.17,2004.35,1395,2064.61,3240,2964.37,26896
32765.24,20216.46,10224,7153,7864,9643.62,52931.62,140798
38316.23,28093.3,13890,10840,16518.22,18587.53,61002,187247
34400.81,24812.04,11950,8092.08,7715.7,16678.52,45228,148877
3966,2999,1297,866.01,1079,1349.12,3680,15237
10018.48,3934,1942.28,2702.44,2680,2561.68,6217,30056
74356,30840.24,9903,14234.8,13965,12021.14,31294.84,186615
48962.97,36275.9,17628,18025,17032,26337.55,33366.83,197628
47747,19432,7185,11168,11925,8339.28,18751.39,124548
25778,17358.68,8500,7196,8476.7,8196,45982,121488
38272,16725,9665.17,7368.86,9845.91,14896.2,47642.13,144415
55801,15758.96,14149,8842,15261,17063,27697,154572
39089,30940.17,17947,13181.88,10767,17892.09,64477,194294
10760.85,6913.43,3867,2194,2588,5158.62,7892.77,39375
35275.68,26557.63,13366,14132.22,7737,16008,37657,150734
9573,4863,2064.9,1600.02,1921.94,2830,4111,26964
41654,16940.97,7791,10860,10946,11795,23441.92,123429
65926,33715.48,15643,16307.11,11004.82,29138.39,28976,200710
79545,33482,16450.36,15056,12472,13278.41,44454,214738
73125,36151.42,14615,19040,20294,13859.11,49055.32,226139
16083.87,9895,4804,6024,3945,7880.34,28583.13,77215
22524,11201,6575.5,5887.95,5997,7370,19487.01,79042
41916,29970,13206,9999.48,12202,22292.55,24769,154356
58369,39728,13540,16194.91,11836,24810,49383,213861
81025,39452.86,16265.59,19567.04,18341.35,30565,20519,225736
23173,15014.13,9885.74,9386.1,7861.85,13157,24990,103468
58017.29,30229,12812,17253.25,18249,14960,50940.23,202461
5433,2776,1827,1905.51,1840,2369,3285,19435
48942,31007,17547,14412.41,17521.6,16803,49179,195412
55847,19681,16979.51,16520,10973.41,21002.11,44146.69,185150
27660.95,9845,8586.99,5922.93,5414.18,8852.55,22549.8,88832
21705.6,9940.65,4907.61,4738.1,4873.75,8793,6333.88,61293
94431,29084,15536.81,23518.51,21711,22989,29781.98,237053
26733.48,12546.56,8331,4999,8324.15,8986.51,18860,88781
72377.31,20223,16434,16083,13278.74,19168.79,43910,201475
49404.76,25554,12941.95,12325.31,10689,10557.95,48723,170196
63319.7,26642.05,16726.73,12000.47,21771,23970,72077,236507
15117.16,9258,5059.45,3279.09,4872,6779.79,9553.66,53919
58893.77,44104,22314,19568.97,24450.08,20440,60062,249833
57997,22531,17603,16691,13342,23367.93,24787,176319
47096,25828.26,9623,10320.96,9475.9,15327,13499.8,131172
28088.87,11147.14,6178.1,9248,7823,14464,27809,104758
69520.6,41576,22671.14,15783.33,14550,25988,42730.8,232819
77640.85,27326,14034.42,19428,15594,12999.14,36801,203824
25087.47,9800.32,4603.22,4165,5339.84,9186,8391.39,66573
23568.45,10456,5479,4075.61,5994.59,4758,14768,69101
60728,39383.79,17594,19905,22711,14138.52,69367.32,243828
8636,7280,3142.53,2958.51,1918,5054,7657.33,36646
37310.35,14688.37,10073,8790.05,6445.95,11721.31,25156.45,114185
8573.55,3484.26,2638,1796,2812,1826.43,11918,33049
44495,26769,17832,15174.26,21893.29,11703,82810.03,220677
35930.26,21617.75,6827.9,8520,9170.6,7186,18863.82,108116
34389.56,16779.39,6092.23,6179.21,9625,14900,19414.3,107379
31199.99,8433,6513,5675.97,5670,7506.51,13387,78385
30520.56,15909.65,8956,10849,11200.26,12202.19,46494,136131
40101.42,19615,9085.98,12982,13622,20618,65205.96,181230
44358,30245,16680.3,11305.75,20138.2,30569,53192.53,206489
13040,3801.38,2171.65,3033.49,2028.53,2473,6741,33289
30889,16391,8803.62,11895.94,7047.59,10309.18,34890,120226
37020,17754.87,5934.75,5923.16,6705.12,8755.91,28699,110793
4353,3377.72,1326,1298,1915,1484,6069,19823
50260.36,33429.33,17204,10169.18,14480.76,27031,48657.26,201232
17806.81,6017.16,3254.33,3005.84,5075.13,4706,12109.89,51975
6906.09,3243,1412.69,1196.49,1687.15,2360,2734,19540
9427.45,3237.09,1964,1790.5,2409.44,1377.79,6157,26364
53910.5,24858.89,9400,8487.29,13996,13448,21582.62,145683
9292,7511.98,3685,3472,3179,2994,7530,37663
14793,10340,3389.26,4674,3602,5681,19512.5,61991
67539.81,38195.75,13648,18902.43,19055,28434.56,12975.6,198751
32245,18028.38,7951.06,9007.45,8650,13539,24761.84,114182
45617.32,29620.79,9244.72,16468.88,8780.03,25159.59,37158,172049
27622.49,18503.07,6318.45,9948,7973,6434,27905,104704
23242,11477.97,5512.66,4433.56,3372.23,4244,6832.58,59115
32910.38,18110.66,5720,7670,8984.91,7682.93,19928.22,101007
84473,30119.62,21080,16378.14,19794.87,23160,34289,229295
67026,27247.91,16867,16585,19500,27091.51,27644.21,201962
44392,34023.91,20116,10392.99,17901,24004.36,56628.82,207459
58011.96,20232.79,9430.87,13378.46,12201,16143.53,29743.93,159143
42162.85,21949,16617,16499.69,10348.45,10040,82730,200347
82560.54,28333.02,12121.66,13200.54,18955.39,31408,26862.35,213441
5526,3644.74,1132,1188.16,1419,3023,6005,21938
52013.44,35155.57,17450.31,16588,13880,15829,25350.72,176267
23493.71,18193,6907,5686,10150,13088.76,24162,101680
2819,1461,1332.79,1069.29,1215.13,1873.9,4229.05,14000
66019.92,35252.17,20937,18291.51,17396,17676,36088.42,211660
28019,16615,7875,9874.76,9630,11932.29,27096.48,111042
24460,16085,6297,6218,10311.95,13487,26750,103610
32159,16753,8022,10970.85,7637.37,16638.5,21510,113691
72805.33,28444,15633.81,24093,16910,34822.95,54669,247378
78711,40304,21221.62,15666,18729,35399.07,28897,238928
16202.14,5791.25,2608,4436.78,2606,2856,13804,48304
21508,14278,5732,5238,6845,10341.13,15506.72,79449
32315,14875,5475,6061,6215.15,9929.31,18115.51,92986
74569,25937.83,18220.65,19209,16598.89,33526.75,42653,230715
63047.1,24033.81,15424,14849,9284.63,19553,15645,161836
45991,15665,11533.23,8138.57,6268,15021.76,16322,118940
64919.49,44648.94,18215,19862.49,21987,24790.11,32676.27,227099
14593.21,9580,3919,4695,4751,3433.91,7522.09,48494
4341,1965,747,914.57,686,1528.19,3191.76,13373
36400,27907,14670.17,11775.37,13238,9523,39720,153233
39107,21403,6410,5843.01,7189,6763.81,20816.63,107532
35293.67,18139,7268.79,5219.7,8305.26,5781,22651,102658
37851.84,16911.25,8703.46,8477.55,10237.93,14791,36660,133633
36058.96,16144,8588,7092,5653,12418.64,24432,110386
12572.15,6139,1895.91,3475.85,2139.21,4994.93,6133.39,37350
30623.18,16741,9412,8645.72,5486.2,8317,23783,103008
38688.89,19244,7719.3,6140.13,7704.88,10373.36,14426.79,104297
12800.38,6462.37,2495,2684.57,1827.03,4151.74,4929.9,35351
28108.47,18355.9,7608,8335.65,7249,9271.4,19739.85,98668
27323,12625.73,8863.33,7398,6364,12708,49303.26,124585
53686,24988,9475,14473.56,11161,22862,19732,156377
32387,16138.77,8434.97,7255.92,6411,5687,9038,85353
64183,36430,17508.27,15422,15028.94,19233.35,50062.64,217869
15448,10367.26,4837,5719.4,5075,9313,25193.15,75953
25986.75,12095.27,6484.18,5620.16,4168,9407,3697,67458
54027,48504,23842,13079.29,16880.5,32590,59261.14,248184
9737,5466,2406,3031.28,2210,3791,3716.94,30358
4398,2498.33,1046.13,898,1208,1701.51,1516.75,13267
19988.99,15891.5,4654,4853.07,4657.39,10622,32077.93,92745
30965.77,10759,8914,7084.49,8965,7506.92,25393,99588
12517,7827,3284,3234.88,2517.68,3139,15993,48513
48660.48,30583,16508.02,15658.86,10257,8492.46,37004.38,167164
6924.72,3527,1887.77,1234.09,1858.02,2345.96,3560.78,21338
51163,15910,13940.42,10999.9,8368,8930.69,32172,141484
5817.83,2516,1181.02,894.03,1601,1127.53,4405,17543
42822,15449,8112.15,8248,9422.98,9118,22720,115891
36378.94,20542.41,16278,13641.61,17023.38,9993,60711,174568
18023,10461,6170.49,4260.15,4570,5981,21227,70692
91601,38205,19948,15980.38,16490.3,14825.17,33105.52,230156
75511,45512.32,12264.36,11711.56,18721.49,18346,51925.36,233992
15507,7951.34,2777.01,2766.99,4136.88,6509,14776,54425
16408,5891,3564,4657.04,3234.33,4869.41,10132,48756
6377,5304,2621,2215.14,1648,1518,9204.84,28888
56627,31644,10743,9423,13541.86,9938.78,44889,176807
13374,9731.44,5100,3810,3788,6060.68,15430.22,57295
45429,23189,8987.28,10657.41,11612,6753.9,17723.76,124352
36464.51,14813.43,8465,8491,4961.05,6241.82,13605.13,93042
29637,14092.51,5411,7917.57,5150.59,8430.58,25360,95999
8504.74,5583.25,2131.31,2158.04,1945.45,2264.47,5367.74,27955
15814.45,8880,3078.88,2831.54,3298.27,6670.87,7267,47841
23899.65,12604.79,6426,6610.94,6030,4176.13,20893,80640
55179.74,27377,19867,14639.93,20275,10828,58416,206582
49176.95,21332,16817.25,17009.95,13177.39,8913,49555.7,175983
59580,31599,16181,14059,13050,23662.04,41972.04,200103
68252.55,28869,17562.77,14831.07,19389.23,22297,58595.98,229798
47498,17527,11436,9460,12843.84,19779,29886.33,148429
37131.48,24531,12684.65,10903,14992,9954,63355,173551
14507.75,9670,4085.07,6878,3945.52,6344.97,26044.6,71476
19853.71,10296.34,2936.37,2829.51,4781.05,3471.47,10643,54811
47026.01,30631,9696.42,14708.7,11672,22156,41390.56,177280
62863.75,21428,8826,16097,10220,21785.25,20002,161222
18595.36,14600.56,7536,6015.82,7238,5237.01,21957,81180
37552.15,33772,10828.26,13970,11628.32,22540.48,54066.77,184358
25678.37,14571,11883.47,12143,10686.94,9241,38651.56,122856
27793.74,7862.13,7408.61,4981.58,6542.48,10248.36,13613.1,78450
54227.89,26517.23,10007,15410,15128.08,16390,24743.55,162424
39956,33328,16130.57,13835.88,14962.48,28385,49542,196141
32208.68,16533,7655,7646,11877.16,13839.86,32128.05,121888
43762,19936.22,9076.98,8088,7132,7305,25148.4,120448
7646,3411,2161.53,1266.72,1710,3169,5033,24397
62529.77,27271,16960,10085,13234.03,14374.74,38172.57,182627
62912,26934.45,17080,11247,11329,21544,36984,188031
35382,25999.59,9962.17,13911,7667,13270,35607.69,141800
66351,24080.78,11257.79,16195.67,17653,18805,37245,191589
39741,23151.24,9654.64,8396.53,7495,14824.51,25917.43,129180
24699,11707,4041.24,4122.32,6262.67,7357.52,18044,76234
18033.51,6145,3137.06,2578,3239,5418.12,11404.06,49954
46816.83,24933,18515,18004.32,18356.51,24971,36755.02,188352
18476,17407.21,8614,5200,6297,11907.32,21557.98,89459
60388.71,17246,13588.51,9001,10966,14389,32271,157851
51366,36055.56,16002,13327.57,14353,24393.19,49507,205004
50290,34164,19643,18780,18757,21782.7,50592,214008
37762,30950.48,13871.19,16501,9039,12260.95,45153,165538
36708.06,33740,9350.21,14826.98,9539,21471.92,52375.16,178011
42855,29915.23,11452,11542,13368.3,23849.05,77987,210968
51532,23121,13141,15630.46,10302,22351.28,40264.34,176342
17326.18,9491,3832.15,4328.22,4398.65,8442.51,21344,69163
60731,43981,21963.19,16148.6,20078.86,11482.28,49324,223709
17105,8918,4553,5479.41,3422.6,7859,14597,61934
65436.77,20824,10913.27,20523.21,11039,11246.73,65984,205967
52688,25431.42,16131,16931,12339.6,11659,38199.69,173379
21104,6632.54,6054,5261,5267,8988,10791.22,64098
58456.22,25370.02,16771.96,13781,18038.99,12554.89,57019.52,201993
5519,2806.52,900,1346.91,1110,1145.34,2658,15486
56840.23,15119,11194.43,10085,11805.63,10838.84,33524,149407
30874.53,13298,6202,6171.08,5691.42,7998.17,26665,96900
52202,22928.93,11864,12476,9192,7656.24,19701,136020
36567.35,20522.83,9934,11212,5685.35,10574.41,18299.58,112795
84471.17,29783.28,12164.09,12113.34,16428,32958.34,42265.28,230184
87779,24074,19496.5,16606.39,15468.58,27583,47267,238275
31028.46,22861,12087.18,10223.05,12696,11083,52223,152202
30805.86,9761.4,9266,7656,6659.78,12960.72,20398,97508
59684,32703,20213.36,23240,18933.26,31103.33,61150.57,247027
45312.45,13719.55,7362,10870.5,12143,14548.5,24368,128324
20818.28,8636.84,6538.45,4424.61,4610.07,9415,16122,70566
53289,26919.31,20206.18,20649.42,15307,27062,44343,207775
8410.22,6099,3295,3459.98,1884,4405.3,9638,37192
2791.89,1868,1064,741,831,1065,2700,11062
33882,14050.14,5247,6763.74,8667,10316.76,15149.86,94076
35562.28,19636,6586,5174.49,6789,5163.3,20868.41,99780
39645.38,25657,8660,11661,9230.37,12565.04,55197.23,162617
6455,5465.42,2139,2080.9,2532,2966.88,10050,31689
4771.44,3670,1343.71,1534,1994,3113.75,4748,21174
36338.75,12770,8820,5413,8973.56,11573.65,14573,98461
34229,19694.33,11539.31,7350.78,10857,14834.47,37669,136174
36958.09,21328.27,8061,7530,10742,6769,21645.03,113033
6803.04,2696,1766.82,1225.98,1235.9,1978,3642.53,19348
51305.09,21740,11473,10540.69,15913,19499.73,34315,164786
14818.25,5882.75,3384.32,4781.32,4290,5171,9774,48102
21110,13290.5,8206.28,7276,7134.65,12400.06,15043.04,84460
38227.83,22499,7455.84,8527,10586,9633.22,15705,112634
27210,13959.54,5866,6886,9013,12991,24003.91,99930
4491.49,2104,1324.35,1649.73,1008.12,1000,5223,16801
39457.43,15152,8214.85,6234.39,6071,10888,27133,113150
78592.9,31229.3,18785.14,16262.68,13043,17870.47,37555.51,213339
42040,25424,15078.66,11240.35,17861,24755.64,52808,189208
51777,21502,12315.42,12365.7,8427,14089,44221,164697
87852.17,29580,16566.79,20286,19694.98,17149.7,32814.68,223945
82411,45752,19787,23439,13650.1,14218.17,42658,241915
55852,29879,18157,13817.18,19434.13,12179.59,64345.65,213664
69091,27954,11752,12489,18531.57,11397,66909,218124
69889.96,34964.68,9490.7,12815,14145,21839,22189.63,185333
2434,1349,840.21,1046.76,796.8,1199,3877,11542
6823.43,3257.93,2984.21,2769,3155.42,2840.77,9846,31677
45011.23,32839.11,12040,17023.54,10501.97,23590,46798,187804
40003.26,22359,10695,11291,18856.17,20130.26,68081,191415
10501.23,6164,2937,2493.05,3772,5208,18006.29,49081
71508,35908,10807.44,10387.93,20127.03,14140.01,41050,203928
39265.86,18613,6570,9686.37,9452,14735.11,4782.94,103105
87030,24386,21692,19719,11918.24,21367.86,43817,229930
8820,3123,2640,2715,2382,2754,6631,29065
51698.19,22863.37,20982.11,13419,11703,14821,89044.7,224532
33981,17062,8140,6024.99,6979,13205.89,12699,98092
25841,11517,4174.52,4133,5393,9030,4604.49,64693
12984,5301,2880.21,3356.99,2258,3115,7066.08,36962
13832,4329.73,2379,2381,3595,2677,9102,38295
8778,3002.36,1307,1923.52,1708,2206,4883,23807
50074,28098,17921.33,17446,16418,16642,36819.91,183420
53086,33311.11,13416.97,14954.91,14460.66,20125.45,18149.26,167504
84647.43,28604.83,12771,12561,19070,11354.33,55348,224357
79366.76,33490.01,17911,13201,22273,18377,63448,248067
51041.73,32647.73,22789,23235,20149,16941,66060.8,232864
44352.38,20847.49,15586.65,12362,17250.7,23597.6,64929,198926
57795.25,27527,15807,16461,15287,17046,31411.53,181334
42324.99,22470.09,15600.52,12204,10452.08,10660.36,64440,178152
52541.68,18927.9,7746,12139,9684,7767,33590.31,142396
32784,14621.06,6309.44,8502.36,9485,8839,20726,101267
40754,19526.2,13918.31,12402.09,12646,25977,51757,176981
64786,23759,22666,22884,17849.53,13148.89,65318.45,230411
11376.75,4558,2675.72,1665.69,2878.93,3946,2769,29870
46688,29955.95,14717.23,15866,11386.59,17743,39293.38,175650
83491.27,25940.92,11180,13777.51,19041,26701.56,33063,213196
84691,48774,20538,15070,13557.38,27915.61,34131.13,244677
7485.48,5794,2230.24,2223,2070,2537,14450.3,36790
36546.54,16056,9515.49,12375,11109,14974.51,28297.29,128874
12757,3719,1887.38,2542,2210,4395.08,7778.4,35289
74554.47,20597,13245.43,10974,10094.35,12025,54711,196201
83268,45370.18,20040,22253,14515.34,19849,29490.19,234786
62792,35720,14430.21,18581.51,18575,16635,68584.26,235318
5278,4598.85,2058.56,1402.8,2023,2427,7697,25485
18417.17,7755,5239,2923,4912,3896.73,11339,54482
23980.08,17343.61,7752.99,6622.04,4816,9105,26568.16,96188
4202,2053,1115.98,1334,1146,1986,2911,14748
48257,43429,13544,14314.34,12000,33388,62909,227841
35388,24963,14866,14088.56,14011,21580,25610,150507
4089.98,1546.02,688.86,1150.1,1062.38,1139.17,4032.49,13709
33677.95,24785.61,9079,8236,7876,11019,39287.13,133961
15625.24,4419,3377.76,2287,3793,4078.73,6774.04,40355
39676,33339,13017.9,15467.81,19258,15736.94,60347.02,196843
46480,35623.72,16390.68,15610,11610,26604,46552,198871
50772,18749,13326.8,12687.44,15309,11007.42,32336,154188
62927,20148.69,16503.29,14172.34,12458.35,15503.74,24828,166542
69287,24357,13048.86,15310.47,9328.09,24213.73,27871.38,183416
20182.65,10022.6,5202,4988,2668,6040.38,3814.87,52918
14045,6791.22,3666,5253.22,5696,5655,21118,62224
10521,8135.68,2761,2479,2592.54,6981.33,15827.81,49298
89354.68,36867.53,22252.1,17865,15622.78,20626,46976,249564
33372,17606,7073,5256.72,8730,12346.51,5834.89,90219
22226,10399,3637.95,6533,6728.83,8465.64,13639,71629
26417.63,7632,4792.79,5848.24,5828,8651,16870.58,76040
54026.4,37660,15279,16750,16850,16325,83700,240590
80254,30477,18917.95,17373.3,18747.61,24514.95,50621.76,240907
10401,5229.44,3762,2478.45,2405,2393,11346.82,38016
9643,4961.72,3041.24,2493,2662,4385,6775,33960
15670.25,7164,3882.78,3121.3,3475.89,3700,6577,43591
69238.13,31369.82,16019.43,11839.04,16289.17,29008,50157,223920
41707,17927,7499.4,8592,9632,6732,21245,113333
32728.32,16302.35,10407.48,10643.54,12088.97,9047.51,33602.82,124821
56787,41509.63,18606.32,11181,19539.85,23654,37436,208713
18378,6143.89,2866.64,3087.28,4534,3865,7520.25,46395
52783,23265.82,11292.51,11356.51,9054,12784.11,19159,139695
36510.98,32619,10665.39,13388.28,12948,21046,36594,163772
16954.52,5734.38,4240,2522.96,3702.41,4674.53,6791,44620
53536.15,28346,13258,16872,22498,34368.51,75407.55,244286
38429,15054,11228,10328.05,8808,13451.27,40848.74,138148
8468.64,4676.54,2443,2958,2716,1992,7305,30559
73814.27,43875.56,20146.01,19231.35,18321,28631.82,30096.89,234117
27339,16158.68,6609,5664,6022,6968.35,34634.54,103396
42653,25155.99,17069.24,10999.85,12616,27474,66746,202714
83746.15,32756,13572,15247.44,18702,29943.99,23643.43,217611
7733,5086.47,2473,2189.52,2956.32,3680.32,7613.94,31732
38268.4,12695,6962.32,9356,8199,12687,13194.29,101362
42879,19538.12,11915.57,11007,14853,10434.85,60798.36,171426
7677,3354,1569.5,1956,1712.66,1413,6162,23843
29091.98,12663.83,6399.15,9350.56,10759,7702,48098,124065
31560.03,12832,7086,7971.85,4427,4132,13716.11,81726
7306,2818,1535,2504,2528,3599,7350.73,27640
21637.13,8120.17,4823.73,4481,3991,9221,10254,62528
13002.95,5778.74,2901,4194.07,3907.21,3419.6,15210,48413
21235,8957.97,5296.27,4764,6191.55,4149.52,12043.99,62638
48227,27728,14277.31,16902.21,17104,12763,56805.35,193808
69540.93,37524.84,24845,14671.55,24677.61,21813,55891,248964
